scientific_name,common_names,category,park_name,observations,conservation_status
Amaranthus retroflexus,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",Vascular Plant,Yellowstone National Park,247,
Amaranthus retroflexus,"Green Amaranthus, Red-Root Amaranth",Vascular Plant,Yellowstone National Park,247,
Geranium thunbergii,Thunberg's Geranium,Vascular Plant,Yosemite National Park,150,
Scirpus cyperinus,"Bulrush, Cottongrass Bulrush",Vascular Plant,Great Smoky Mountains National Park,73,
Scirpus cyperinus,"Bulrush, Woolgrass",Vascular Plant,Great Smoky Mountains National Park,73,
Viola glabella,Pioneer Violet,Vascular Plant,Yellowstone National Park,261,
Scaphiopus holbrookii holbrookii,Eastern Spadefoot,Amphibian,Yosemite National Park,177,
Glyceria striata,"Fowl Manna Grass, Fowl Mannagrass",Vascular Plant,Yosemite National Park,117,
Glyceria striata,"Fowl Manna-Grass, Striate Mannagrass",Vascular Plant,Yosemite National Park,117,
Veronica cusickii,Cusick's Speedwell,Vascular Plant,Bryce National Park,84,
Festuca filiformis,Fineleaf Sheep Fescue,Vascular Plant,Great Smoky Mountains National Park,79,
Rosa pinetorum,Pine Rose,Vascular Plant,Bryce National Park,96,
Lysimachia nummularia,"Creeping Jennie, Moneywort",Vascular Plant,Yosemite National Park,140,
Sclerolinon digynum,"Digynum Flax, Northwestern Yellowflax",Vascular Plant,Bryce National Park,116,
Camissonia sierrae ssp. alticola,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Vascular Plant,Bryce National Park,84,Species of Concern
Festuca idahoensis,Idaho Fescue,Vascular Plant,Yellowstone National Park,239,
Doellingeria infirma,Cornel-Leaf Whitetop,Vascular Plant,Yellowstone National Park,262,
Viola macloskeyi ssp. pallens,"Northern White Violet, Smooth White Violet",Vascular Plant,Great Smoky Mountains National Park,71,
Cirsium arvense,Canada Thistle,Vascular Plant,Great Smoky Mountains National Park,85,
Cirsium arvense,"Crepping Thistle, Canada Thistle",Vascular Plant,Great Smoky Mountains National Park,85,
Elaeagnus umbellata,Autumn Olive,Vascular Plant,Yosemite National Park,176,
Cornus alternifolia,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",Vascular Plant,Yosemite National Park,148,
Portulaca oleracea,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",Vascular Plant,Great Smoky Mountains National Park,76,
Portulaca oleracea,Common Purslane,Vascular Plant,Great Smoky Mountains National Park,76,
Elaeagnus umbellata,Autumn Olive,Vascular Plant,Great Smoky Mountains National Park,85,
Solidago missouriensis var. missouriensis,Missouri Goldenrod,Vascular Plant,Bryce National Park,112,
Silene parryi,Parry's Silene,Vascular Plant,Great Smoky Mountains National Park,68,
Itea virginica,"Sweet-Spire, Tasselwhite, Virginia Willow",Vascular Plant,Yellowstone National Park,235,
Ammoselinum butleri,Butler's Sandparsley,Vascular Plant,Yellowstone National Park,283,
Platycladus orientalis,Oriental White Cedar,Vascular Plant,Great Smoky Mountains National Park,25,
Limnanthes alba ssp. versicolor,White Meadowfoam,Vascular Plant,Yellowstone National Park,246,
Panicum rigidulum var. pubescens,Long-Leaved Panic Grass,Vascular Plant,Yosemite National Park,158,
Salix humilis var. humilis,Prairie Willow,Vascular Plant,Great Smoky Mountains National Park,64,
Hepatica nobilis,Hepatica,Vascular Plant,Yellowstone National Park,281,
Eriogonum nudum var. deductum,Naked Buckwheat,Vascular Plant,Bryce National Park,88,
Penstemon procerus,"Littleflower Penstemon, Pincushion Beardtongue",Vascular Plant,Great Smoky Mountains National Park,67,
Ericameria suffruticosa,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod",Vascular Plant,Yellowstone National Park,254,
Chasmanthium latifolium,"Broad-Leaved Spanglegrass, Indian Sea-Oats",Vascular Plant,Yosemite National Park,152,
Sparganium emersum ssp. emersum,Emersed Bur-Reed,Vascular Plant,Great Smoky Mountains National Park,80,
Ribes rotundifolium,"Appalachian Gooseberry, Round-Leaved Currant",Vascular Plant,Yosemite National Park,147,
Pachysandra procumbens,American Pachysandra,Vascular Plant,Yellowstone National Park,213,
Helianthus annuus,"Annual Sunflower, Common Sunflower, Sunflower, Wild Sunflower",Vascular Plant,Yellowstone National Park,265,
Helianthus annuus,Common Sunflower,Vascular Plant,Yellowstone National Park,265,
Blarina brevicauda,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Mammal,Bryce National Park,77,
Polygonum viviparum,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",Vascular Plant,Great Smoky Mountains National Park,107,
Astragalus purshii var. purshii,"Pursh's Milkvetch, Pursh's Milk-Vetch, Woollypod Milkvetch",Vascular Plant,Yosemite National Park,156,
Orthocarpus luteus,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",Vascular Plant,Great Smoky Mountains National Park,47,
Liparis loeselii,"Fen Orchid, Fen Orchis",Vascular Plant,Yosemite National Park,157,
Cornus canadensis,"Bunchberry Dogwood, Canadian Bunchberry",Vascular Plant,Bryce National Park,89,
Arctostaphylos uva-ursi,"Bearberry, Bearberry Manzanita, Kinnikinnick, Mealberry",Vascular Plant,Yosemite National Park,154,
Isatis tinctoria,Dyer's Woad,Vascular Plant,Yosemite National Park,127,
Eschscholzia hypecoides,San Benito Poppy,Vascular Plant,Bryce National Park,106,
Tofieldia glabra,"Smooth Bog-Asphodel, Smooth Tofieldia",Vascular Plant,Great Smoky Mountains National Park,75,Species of Concern
Odocoileus virginianus,White-Tailed Deer,Mammal,Great Smoky Mountains National Park,36,
Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer",Mammal,Great Smoky Mountains National Park,36,
Galium pilosum var. puncticulosum,Hairy Bedstraw,Vascular Plant,Bryce National Park,137,
Physaria didymocarpa var. didymocarpa,Common Twinpod,Vascular Plant,Yellowstone National Park,244,
Thamnophis sirtalis sirtalis,Common Garter Snake,Reptile,Great Smoky Mountains National Park,63,
Krigia montana,"False Dandelion, Mountain Krigia",Vascular Plant,Yellowstone National Park,214,
Puma concolor,"Cougar, Mountain Lion, Puma",Mammal,Bryce National Park,92,
Puma concolor,Mountain Lion,Mammal,Bryce National Park,92,
Puma concolor,Panther (Mountain Lion),Mammal,Bryce National Park,92,
Sphaeralcea coccinea,"Copper Mallow, Orange Globemallow, Red Falsemallow, Scarlet Globemallow",Vascular Plant,Bryce National Park,108,
Hypentelium nigricans,Northern Hog Sucker,Fish,Great Smoky Mountains National Park,54,
Cryptantha affinis,"Common Cryptantha, Quill Cryptantha",Vascular Plant,Bryce National Park,105,
Pellaea atropurpurea,"Purple Cliff-Brake, Purple-Stem Cliff-Brake",Vascular Plant,Bryce National Park,115,
Platanus occidentalis,Sycamore,Vascular Plant,Great Smoky Mountains National Park,98,
Plantago rugelii,"Black-Seed Plantain, White Man's Footprint",Vascular Plant,Yellowstone National Park,223,
Lewisia nevadensis,"Nevada Bitterroot, Nevada Bitter-Root, Nevada Lewisia",Vascular Plant,Bryce National Park,82,
Arenaria congesta var. subcongesta,"Ballhead Sandwort, Loosehead Sandwort",Vascular Plant,Great Smoky Mountains National Park,90,
Calystegia sepium,Hedge Bindweed,Vascular Plant,Yellowstone National Park,218,
Carex backii,"Back's Sedge, Rocky Mountain Sedge",Vascular Plant,Great Smoky Mountains National Park,58,
Betula nigra,River Birch,Vascular Plant,Bryce National Park,106,
Quercus,Oak,Vascular Plant,Bryce National Park,59,
Spiraea prunifolia,"Bridal-Wreath, Spiraea",Vascular Plant,Great Smoky Mountains National Park,48,
Andropogon glomeratus,"Bushy Bluestem, Marsh Broomsedge",Vascular Plant,Bryce National Park,65,
Didymodon fallax var. reflexus,Didymodon Moss,Nonvascular Plant,Yellowstone National Park,208,
Rhynchospora alba,White Beaksedge,Vascular Plant,Bryce National Park,88,
Accipiter cooperii,Cooper's Hawk,Bird,Bryce National Park,95,Species of Concern
Eurycea longicauda longicauda,Longtail Salamander,Amphibian,Yosemite National Park,147,
Scleria oligantha,"Little-Headed Nutrush, Nut-Rush",Vascular Plant,Great Smoky Mountains National Park,70,
Orthotrichum stellatum,Stellate Orthotrichum Moss,Nonvascular Plant,Great Smoky Mountains National Park,71,
Rhododendron maximum,"Great Laurel, Rosebay Rhododendron",Vascular Plant,Bryce National Park,100,
Morus alba,White Mulberry,Vascular Plant,Great Smoky Mountains National Park,49,
Sambucus racemosa var. racemosa,"Bunchberry Elder, Red Elderberry",Vascular Plant,Great Smoky Mountains National Park,77,
Nemacladus interior,Sierra Threadplant,Vascular Plant,Bryce National Park,100,
Sphagnum subsecundum,Sphagnum,Nonvascular Plant,Great Smoky Mountains National Park,73,
Euphagus cyanocephalus,Brewer's Blackbird,Bird,Bryce National Park,79,
Eleocharis quinqueflora,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",Vascular Plant,Bryce National Park,106,
Crotalaria sagittalis,Arrowhead Rattlebox,Vascular Plant,Bryce National Park,56,
Erechtites hieracifolia,Burnweed,Vascular Plant,Yosemite National Park,134,
Scrophularia marilandica,"Carpenter's Square Figwort, Figwort",Vascular Plant,Bryce National Park,89,
Viola blanda var. blanda,Sweet White Violet,Vascular Plant,Great Smoky Mountains National Park,108,
Hordeum murinum ssp. murinum,Wall Barley,Vascular Plant,Yosemite National Park,115,
Calcarius lapponicus,Lapland Longspur,Bird,Bryce National Park,91,
Agrostis mertensii,"Arctic Bentgrass, Northern Bentgrass",Vascular Plant,Yosemite National Park,135,
Agrostis mertensii,Northern Agrostis,Vascular Plant,Yosemite National Park,135,
Seiurus aurocapilla,Ovenbird,Bird,Bryce National Park,86,
Chelone lyonii,Pink Turtlehead,Vascular Plant,Yellowstone National Park,244,
Viburnum edule,Squashberry,Vascular Plant,Yosemite National Park,136,
Platanthera obtusata,"Bluntleaved Orchid, Northern Small Bog Orchid",Vascular Plant,Great Smoky Mountains National Park,116,
Pseudacris maculata,Boreal Chorus Frog,Amphibian,Bryce National Park,109,
Chasmanthium sessiliflorum,"Longleaf Spikegrass, Longleaf Woodoats",Vascular Plant,Yellowstone National Park,257,
Dichanthelium acuminatum var. acuminatum,Tapered Rosette Grass,Vascular Plant,Yosemite National Park,123,Species of Concern
Osmorhiza berteroi,"Mountain Sweetroot, Sweet Cicely, Sweetcicely",Vascular Plant,Yellowstone National Park,263,
Hackelia nervosa,"Sierra Stickseed, Sierran Stickseed",Vascular Plant,Yosemite National Park,168,
Poa sylvestris,Woodland Bluegrass,Vascular Plant,Bryce National Park,118,
Amorpha fruticosa,"False Indigo, False Indigo-Bush",Vascular Plant,Yellowstone National Park,258,
Anthemis cotula,"Chamomile, Dog Fennel, Dogfennel, Mayweed, Mayweed Chamomile, Mayweed Dogfennel, Stinking Chamomile, Stinkweed",Vascular Plant,Yellowstone National Park,252,
Anthemis cotula,"Mayweed, Stinking Chamomile",Vascular Plant,Yellowstone National Park,252,
Rumex obtusifolius,Bitter Dock,Vascular Plant,Great Smoky Mountains National Park,27,
Clarkia rhomboidea,"Broadleaf Clarkia, Diamond Clarkia, Diamond Fairyfan",Vascular Plant,Great Smoky Mountains National Park,92,
Berberis canadensis,American Barberry,Vascular Plant,Great Smoky Mountains National Park,74,
Poa bolanderi,Bolander's Bluegrass,Vascular Plant,Yosemite National Park,135,
Zonotrichia atricapilla,Golden-Crowned Sparrow,Bird,Bryce National Park,94,
Pinus,Pine,Vascular Plant,Bryce National Park,94,
Potentilla fruticosa,"Bush Cinquefoil, Golden Hardhack, Shrubby Cinquefoil, Widdy",Vascular Plant,Bryce National Park,71,
Melanerpes erythrocephalus,Red-Headed Woodpecker,Bird,Great Smoky Mountains National Park,84,
Digitaria violascens,Violet Crabgrass,Vascular Plant,Yosemite National Park,132,
Hypochaeris radicata,"Cat's Ear, Spotted Cat's-Ear",Vascular Plant,Great Smoky Mountains National Park,57,
Hypochaeris radicata,"Common Cat's-Ear, False Dandelion, Frogbit, Gosmore, Hairy Cat's Ear, Hairy Catsear, Spotted Catsear",Vascular Plant,Great Smoky Mountains National Park,57,
Hypochaeris radicata,"Spotted Cats-Ear, Hairy Cats-Ear, Gosmore",Vascular Plant,Great Smoky Mountains National Park,57,
Phacelia egena,"Kaweah River Phacelia, Kaweah River Scorpion-Weed",Vascular Plant,Yellowstone National Park,282,
Atrichum oerstedianum,Oersted's Atrichum Moss,Nonvascular Plant,Great Smoky Mountains National Park,74,
Pinus lambertiana,"California Sugar Pine, Sugar Pine",Vascular Plant,Bryce National Park,116,
Thalictrum alpinum,"Alpine Meadowrue, Alpine Meadow-Rue",Vascular Plant,Bryce National Park,110,
Jeffersonia diphylla,Twinleaf,Vascular Plant,Yellowstone National Park,258,
Triosteum perfoliatum,Feverwort,Vascular Plant,Yellowstone National Park,257,
Vaccinium parvifolium,Red Huckleberry,Vascular Plant,Yellowstone National Park,253,
Sematophyllum demissum,Sematophyllum Moss,Nonvascular Plant,Bryce National Park,109,
Phlox stolonifera,Creeping Phlox,Vascular Plant,Yellowstone National Park,247,
Cryptantha muricata,"Pointed Catseye, Pointed Cryptantha, Prickly Cryptantha",Vascular Plant,Yellowstone National Park,267,
Pseudoroegneria spicata,"Bluebunch Wheatgrass, Bluebunch-Wheat Grass",Vascular Plant,Yosemite National Park,156,
Prosartes maculatum,Spotted Mandarin,Vascular Plant,Great Smoky Mountains National Park,105,
Cuscuta compacta,"Bracted Dodder, Sessile Dodder",Vascular Plant,Yosemite National Park,140,
Salix farriae,Farr's Willow,Vascular Plant,Bryce National Park,108,
Coreopsis tripteris,Tall Tickseed,Vascular Plant,Bryce National Park,86,
Vermivora celata,Orange-Crowned Warbler,Bird,Yosemite National Park,106,
Malus angustifolia,"Narrowleaf Crabapple, Southern Crabapple",Vascular Plant,Great Smoky Mountains National Park,71,
Cyanocitta stelleri,Steller's Jay,Bird,Yellowstone National Park,230,
Platanthera dilatata var. dilatata,Scentbottle,Vascular Plant,Yellowstone National Park,257,
Cheilanthes intertexta,Coastal Lipfern,Vascular Plant,Yosemite National Park,124,
Carex lenticularis var. lipocarpa,"Kellogg Sedge, Kellogg's Sedge",Vascular Plant,Bryce National Park,112,
Floerkea proserpinacoides,"False Mermaidweed, False Mermaid-Weed",Vascular Plant,Yosemite National Park,131,
Juncus effusus var. solutus,Lamp Rush,Vascular Plant,Yosemite National Park,131,
Thelypodium sagittatum,"Arrow Thelypody, Slender Thelypody",Vascular Plant,Yosemite National Park,164,
Lychnis coronaria,Rose Campion,Vascular Plant,Yellowstone National Park,260,
Carduelis tristis,American Goldfinch,Bird,Bryce National Park,110,
Cicuta douglasii,"Douglas' Waterhemlock, Water Hemlock, Western Water Hemlock",Vascular Plant,Bryce National Park,119,
Melanthium latifolium,"Bunch-Flower, Hybrid Bunchflower",Vascular Plant,Yosemite National Park,167,
Lespedeza procumbens,"Low Bush-Clover, Trailing Bush-Clover",Vascular Plant,Yellowstone National Park,233,
Juncus ensifolius var. montanus,Rocky Mountain Rush,Vascular Plant,Bryce National Park,83,
Osmorhiza depauperata,"Blunt-Fruit Sweet-Cicely, Bluntseed Sweetroot",Vascular Plant,Great Smoky Mountains National Park,67,
Cucumis melo,Canteloupe,Vascular Plant,Bryce National Park,80,
Viola blanda var. blanda,Sweet White Violet,Vascular Plant,Yellowstone National Park,245,
Oncorhynchus mykiss,Rainbow Trout,Fish,Yosemite National Park,118,
Oncorhynchus mykiss,Rainbow Trout,Fish,Yosemite National Park,118,Threatened
Ajuga reptans,"Bugleweed, Carpet-Bugel",Vascular Plant,Great Smoky Mountains National Park,60,
Ranunculus pusillus,"Aquatic Buttercup, Pursh Buttercup",Vascular Plant,Great Smoky Mountains National Park,82,
Taraxacum ceratophorum,"Common Dandelion, Woolbearing Dandelion",Vascular Plant,Yosemite National Park,151,
Oxytropis parryi,"Parry Pointvetch, Parry's Crazyweed, Parry's Oxytrope",Vascular Plant,Great Smoky Mountains National Park,66,
Cynosurus echinatus,Bristly Dogstail Grass,Vascular Plant,Bryce National Park,75,
Platanthera stricta,"Modoc Bog Orchid, Slender Bog Orchid",Vascular Plant,Bryce National Park,76,
Dodecatheon subalpinum,Sierra Shootingstar,Vascular Plant,Yellowstone National Park,206,
Rumex paucifolius,"Alpine Sheep Sorrel, Fewleaved Dock, Meadow Dock",Vascular Plant,Great Smoky Mountains National Park,86,
Cyperus pseudovegetus,Marsh Flatsedge,Vascular Plant,Bryce National Park,108,
Malus coronaria,Northern Crabapple,Vascular Plant,Great Smoky Mountains National Park,75,
Nepeta cataria,"Catmint, Catnip, Catwort, Field Balm",Vascular Plant,Yosemite National Park,189,
Nepeta cataria,Catnip,Vascular Plant,Yosemite National Park,189,
Hieracium piloselloides,King Devil,Vascular Plant,Bryce National Park,77,
Dichanthelium dichotomum var. dichotomum,Small Panic Grass,Vascular Plant,Yellowstone National Park,242,
Bidens aristosa,Stick-Tight,Vascular Plant,Bryce National Park,111,
Secale cereale,"Cereal Rye, Common Rye, Cultivated Annual Rye, Cultivated Rye, Rye",Vascular Plant,Great Smoky Mountains National Park,82,
Secale cereale,"Cultivated Rye, Rye",Vascular Plant,Great Smoky Mountains National Park,82,
Rugelia nudicaulis,Rugel's Ragwort,Vascular Plant,Yosemite National Park,120,Species of Concern
Iva annua,Iva,Vascular Plant,Great Smoky Mountains National Park,70,
Bromus suksdorfii,Suksdorf's Brome,Vascular Plant,Yellowstone National Park,243,
Taenidia integerrima,"Yellow Pimpernel, Yellow Pimpernell",Vascular Plant,Bryce National Park,114,
Symphyotrichum spathulatum,Western Mountain Aster,Vascular Plant,Bryce National Park,110,
Heterotheca villosa var. villosa,"Hairy False Goldenaster, Hairy False Golden-Aster",Vascular Plant,Yellowstone National Park,276,
Pica hudsonia,Black-Billed Magpie,Bird,Yellowstone National Park,239,
Pica hudsonia,"Black-Billed Magpie, Magpie",Bird,Yellowstone National Park,239,
Viburnum lentago,"Nannyberry, Nanny-Berry",Vascular Plant,Great Smoky Mountains National Park,74,
Saxifraga subapetala,Yellowstone Saxifrage,Vascular Plant,Yellowstone National Park,265,
Helianthella quinquenervis,"Fivenerve Helianthella, Nodding Dwarf-Sunflower, Nodding Helianthella",Vascular Plant,Yellowstone National Park,237,
Pteridium aquilinum var. latiusculum,Bracken Fern,Vascular Plant,Great Smoky Mountains National Park,29,
Sturnus vulgaris,"Common Starling, European Starling",Bird,Yellowstone National Park,233,
Sturnus vulgaris,European Starling,Bird,Yellowstone National Park,233,
Carex preslii,Presl's Sedge,Vascular Plant,Great Smoky Mountains National Park,25,
Pellaea breweri,Brewer's Cliffbrake,Vascular Plant,Great Smoky Mountains National Park,73,
Houstonia longifolia var. longifolia,Long-Leaved Bluets,Vascular Plant,Yellowstone National Park,254,
Mustela erminea,Ermine,Mammal,Bryce National Park,118,
Mustela erminea,"Ermine, Short Tailed Weasel",Mammal,Bryce National Park,118,
Monotropa hypopithys,"American Pinesap, Pine-Sap",Vascular Plant,Yosemite National Park,154,
Monotropa hypopithys,Pinesap,Vascular Plant,Yosemite National Park,154,
Pandion haliaetus,Osprey,Bird,Yosemite National Park,134,Species of Concern
Pandion haliaetus,"Osprey, Western Osprey",Bird,Yosemite National Park,134,Species of Concern
Nandina domestica,"Heavenly Bamboo, Nandina",Vascular Plant,Yellowstone National Park,220,
Aix sponsa,Wood Duck,Bird,Yosemite National Park,152,
Iris missouriensis,"Rocky Mountain Iris, Western Blue Flag, Wild Iris, Wildiris",Vascular Plant,Yosemite National Park,127,Species of Concern
Rigiopappus leptocladus,Wireweed,Vascular Plant,Yellowstone National Park,266,
Trifolium aureum,Golden Clover,Vascular Plant,Yellowstone National Park,263,
Trifolium aureum,Yellow Or Hop-Clover,Vascular Plant,Yellowstone National Park,263,
Ericameria cuneata var. cuneata,Cliff Goldenbush,Vascular Plant,Yosemite National Park,166,
Juncus marginatus,"Grassleaf Rush, Margined Rush",Vascular Plant,Great Smoky Mountains National Park,53,
Carex jamesii,"James? Sedge, Nebraska Sedge",Vascular Plant,Great Smoky Mountains National Park,117,
Carex gracillima,Graceful Sedge,Vascular Plant,Yellowstone National Park,240,
Crotalus viridis viridis,Prairie Rattlesnake,Reptile,Great Smoky Mountains National Park,55,
Penstemon procerus,"Littleflower Penstemon, Pincushion Beardtongue",Vascular Plant,Yellowstone National Park,215,
Thaspium trifoliatum var. aureum,"Purple Meadow-Parsnip, Yellow Meadow-Parsnip",Vascular Plant,Yosemite National Park,125,
Leucobryum glaucum,Leucobryum Moss,Nonvascular Plant,Bryce National Park,89,
Empidonax difficilis,Pacific-Slope Flycatcher,Bird,Yellowstone National Park,261,
Sonchus oleraceus,"Annual Sowthistle, Common Sowthistle, Common Sow-Thistle, Pualele, Sow Thistle, Sow-Thistle",Vascular Plant,Bryce National Park,99,
Stizostedion vitreum,Walleye,Fish,Great Smoky Mountains National Park,108,
Heterocladium macounii,Macoun's Heterocladium Moss,Nonvascular Plant,Great Smoky Mountains National Park,110,
Saponaria officinalis,"Bouncing Bet, Bouncingbet, Bouncingbet Soapweed, Soapwort, Sweet Betty",Vascular Plant,Great Smoky Mountains National Park,79,
Saponaria officinalis,"Bouncing-Bet, Soapwort, Bouncing-Bet",Vascular Plant,Great Smoky Mountains National Park,79,
Stizostedion canadense,Sauger,Fish,Bryce National Park,76,
Riparia riparia,Bank Swallow,Bird,Yellowstone National Park,199,Species of Concern
Riparia riparia,"Bank Swallow, Sand Martin",Bird,Yellowstone National Park,199,Species of Concern
Chasmanthium sessiliflorum,"Longleaf Spikegrass, Longleaf Woodoats",Vascular Plant,Great Smoky Mountains National Park,70,
Setophaga dominica,Yellow-Throated Warbler,Bird,Yosemite National Park,140,
Desmodium paniculatum var. paniculatum,Panicledleaf Ticktrefoil,Vascular Plant,Yellowstone National Park,206,
Sayornis nigricans,Black Phoebe,Bird,Yosemite National Park,128,
Logfia arvensis,Field Cottonrose,Vascular Plant,Yosemite National Park,154,
Sambucus mexicana,Mexican Elder,Vascular Plant,Yellowstone National Park,232,
Gratiola viscidula,Short's Hedgehyssop,Vascular Plant,Great Smoky Mountains National Park,107,
Populus alba,"Silver Poplar, White Poplar",Vascular Plant,Yellowstone National Park,251,
Galium obtusum,"Blunt-Leaf Bedstraw, Blunt-Leaved Bedstraw",Vascular Plant,Yosemite National Park,114,
Rosa setigera,Prairie Rose,Vascular Plant,Yosemite National Park,135,
Cercocarpus betuloides var. betuloides,Birch-Leaf Mountain-Mahogany,Vascular Plant,Yellowstone National Park,269,
Opuntia fragilis,"Brittle Cactus, Brittle Pricklypear, Fragile Cactus, Jumping Cactus, Little Pricklypear",Vascular Plant,Great Smoky Mountains National Park,57,
Smallanthus uvedalius,Hairy Leafcup,Vascular Plant,Bryce National Park,91,
Silene stellata,"Starry Campion, Starry Catchfly",Vascular Plant,Bryce National Park,98,
Richardsonius balteatus,Redside Shiner,Fish,Yosemite National Park,163,
Panicum rigidulum var. elongatum,"Stalked-Fruit Panic Grass, Tall Flat Panic-Grass",Vascular Plant,Bryce National Park,93,
Eriogonum prattenianum var. prattenianum,Nevada City Buckwheat,Vascular Plant,Yosemite National Park,143,
Doellingeria infirma,Cornel-Leaf Whitetop,Vascular Plant,Great Smoky Mountains National Park,68,
Agoseris aurantiaca,"Orange Agoseris, Orange-Flowered False-Dandelion",Vascular Plant,Yellowstone National Park,241,
Verbena hastata,"Blue Verbena, Blue Vervain, Simpler's-Joy, Swamp Verbena",Vascular Plant,Yosemite National Park,122,
Aster patens var. patens,Late Purple Aster,Vascular Plant,Yellowstone National Park,230,
Elymus glaucus ssp. glaucus,"Blue Wild Rye, Blue Wildrye",Vascular Plant,Bryce National Park,70,
Fleischmannia incarnata,Pink Thoroughwort,Vascular Plant,Bryce National Park,96,
Sialia sialis,Eastern Bluebird,Bird,Great Smoky Mountains National Park,69,
Scolochloa festucacea,"Common Rivergrass, Rivergrass",Vascular Plant,Bryce National Park,97,
Elymus hystrix var. hystrix,Eastern Bottlebrush Grass,Vascular Plant,Yosemite National Park,166,
Sarracenia purpurea,Purple Pitcherplant,Vascular Plant,Yellowstone National Park,235,
Eriogonum ovalifolium var. nivale,Cushion Buckwheat,Vascular Plant,Bryce National Park,149,
Sedum sarmentosum,"Stonecrop, Stringy Stonecrop",Vascular Plant,Great Smoky Mountains National Park,56,
Brachydontium trichodes,Peak Moss,Nonvascular Plant,Yosemite National Park,141,
Geranium dissectum,Cutleaf Geranium,Vascular Plant,Great Smoky Mountains National Park,119,
Typha angustifolia,Narrowleaf Cattail,Vascular Plant,Bryce National Park,77,
Prunus hortulana,Hortulan Plum,Vascular Plant,Yosemite National Park,147,
Ranunculus acris,"Tall Buttercup, Tall Butter-Cup",Vascular Plant,Yosemite National Park,142,
Eurybia chlorolepis,Mountain Aster,Vascular Plant,Yellowstone National Park,216,
Sphenopholis pensylvanica,"Swamp Wedgescale, Trisetum",Vascular Plant,Great Smoky Mountains National Park,49,
Circaea alpina,"Small Enchanter's Nightshade, Smaller Enchanter's-Nightshade",Vascular Plant,Bryce National Park,114,
Erigenia bulbosa,Harbinger Of Spring,Vascular Plant,Bryce National Park,124,
Senecio streptanthifolius,Cleftleaf Groundsel,Vascular Plant,Great Smoky Mountains National Park,69,
Lasiurus blossevillii,Western Red Bat,Mammal,Bryce National Park,113,Species of Concern
